raw,lvl1,lvl2,lvl3
(ПО) BASIC SUPPORT SUBSCRIPTION VMWARE VCENTER SERVER 6 STANDARD FOR VSPHERE 6 (PER INSTANCE FOR 1YEAR),Оборудование,Оборудование компьютерное и сетевое системы управления оргтехника,Автоматизированные системы управления технологическими процессами АСУТП
(ПО) VMWARE SITE RECOVERY MANAGER 8 STANDARD (25 VM PACK),Оборудование,Оборудование компьютерное и сетевое системы управления оргтехника,Автоматизированные системы управления технологическими процессами АСУТП
(ПО) VMWARE VCENTER SERVER 6 STANDARD FOR VSPHERE 6 (PER INSTANCE),Оборудование,Оборудование компьютерное и сетевое системы управления оргтехника,Автоматизированные системы управления технологическими процессами АСУТП
(ПО) VMWARE VSPHERE 6 ENTERPRISE PLUS FOR 1 PROCESSOR,Оборудование,Оборудование компьютерное и сетевое системы управления оргтехника,Автоматизированные системы управления технологическими процессами АСУТП
001402180009  ЭЛЕМЕНТ МАСЛЯНЫЙ,Запчасти,Запчасти к транспортной технике,Запчасти к автомобилям грузоподъемностью менее  т
0014420160520  ПРОКЛАДКА ГОЛОВКИ ЦИЛИНДРА,Запчасти,Запчасти к транспортной технике,Запчасти к автомобилям грузоподъемностью менее  т
0034420160721  ПРОКЛАДКА КЛАПАННОЙ КРЫШКИ,Запчасти,Запчасти к транспортной технике,Запчасти к автомобилям грузоподъемностью менее  т
016214-082050  ОПОРА,Запчасти,Запасные части прочие,nan
